building_id,bldg_name,use_type,use_sub,barangay,brgy_id,municipality,height_m,floors,area_sqm,cen_x,cen_y,ground_elev_m,dist_to_stp_m,required_depth_at_stp_m,sewer_feasibility,exclusion_reason,alternative_service
61287,,Residential,Other Residential,Poblacion II,32.0,Tagbilaran City,7.48,3,64.88,593443.72,1066457.51,2.55,1275.3,8.79,Non-Sewer,Excessive excavation depth (>6m),FSM (septic + desludging) or DEWATS
61070,,Residential,Other Residential,Poblacion II,32.0,Tagbilaran City,5.26,2,21.08,593379.01,1066575.84,2.85,1181.9,7.97,Non-Sewer,Excessive excavation depth (>6m),FSM (septic + desludging) or DEWATS
60301,,Residential,Other Residential,Poblacion II,32.0,Tagbilaran City,4.77,2,10.38,593370.79,1066594.83,2.87,1166.9,7.86,Non-Sewer,Excessive excavation depth (>6m),FSM (septic + desludging) or DEWATS
61881,,Commercial Establishments,Other Commercial,Poblacion II,32.0,Tagbilaran City,3.5,1,19.72,593381.03,1066571.46,3.07,1185.3,7.77,Non-Sewer,Excessive excavation depth (>6m),FSM (septic + desludging) or DEWATS
60363,,Residential,Other Residential,Poblacion II,32.0,Tagbilaran City,4.18,2,95.49,593477.19,1066419.86,3.95,1303.6,7.55,Non-Sewer,Excessive excavation depth (>6m),FSM (septic + desludging) or DEWATS
61627,,Residential,Other Residential,Poblacion II,32.0,Tagbilaran City,3.5,1,28.11,593366.23,1066605.55,3.33,1158.5,7.36,Non-Sewer,Excessive excavation depth (>6m),FSM (septic + desludging) or DEWATS
60411,,Commercial Establishments,Other Commercial,Poblacion II,32.0,Tagbilaran City,3.5,1,66.65,593430.85,1066519.15,3.95,1219.6,7.08,Non-Sewer,Excessive excavation depth (>6m),FSM (septic + desludging) or DEWATS
60165,,Commercial Establishments,Other Commercial,Poblacion II,32.0,Tagbilaran City,3.5,1,103.77,593387.17,1066563.64,4.2,1190.7,6.67,Non-Sewer,Excessive excavation depth (>6m),FSM (septic + desludging) or DEWATS
61594,,Commercial Establishments,Other Commercial,Poblacion II,32.0,Tagbilaran City,3.83,2,16.71,593381.62,1066578.47,4.3,1178.5,6.5,Non-Sewer,Excessive excavation depth (>6m),FSM (septic + desludging) or DEWATS
61235,,Residential,Other Residential,Poblacion II,32.0,Tagbilaran City,4.88,2,11.44,593378.24,1066584.37,4.64,1174.1,6.14,Non-Sewer,Excessive excavation depth (>6m),FSM (septic + desludging) or DEWATS
60810,,Residential,Other Residential,Poblacion II,32.0,Tagbilaran City,5.61,2,58.11,593447.31,1066465.57,5.22,1266.6,6.07,Non-Sewer,Excessive excavation depth (>6m),FSM (septic + desludging) or DEWATS
