building_id,zone_id,municipality,barangay,use_type,use_sub,sewer_status
37471,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37473,R1,Tagbilaran City,Booy,Health Facilities,Clinics & Outpatient Care,Served
37477,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37478,R1,Tagbilaran City,Booy,Commercial Establishments,Hospitality & Accommodation,Served
37479,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37481,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37482,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37483,R1,Tagbilaran City,Booy,Industrial,Warehouses & Storage,Served
37484,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37486,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37488,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37489,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37492,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37495,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37497,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37498,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37499,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37501,R1,Tagbilaran City,Booy,Health Facilities,Clinics & Outpatient Care,Served
37502,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37503,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37505,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37506,R1,Tagbilaran City,Booy,Commercial Establishments,Other Commercial,Served
37507,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37509,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37510,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37512,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37515,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37517,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37520,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37523,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37527,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37528,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37529,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37531,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37533,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37535,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37536,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37537,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37538,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37539,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37541,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
